Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
20134159,0.0190824,79.3561223363504,0.000,0.000,0.000,False
20134160,0.0142553,79.3703776365146,0.000,0.000,0.000,False
20134162,0.0208164,79.3911940371618,0.000,0.000,0.000,False
20134164,0.0163222,79.407516236417,0.000,0.000,0.000,False
20134165,0.0159995,79.4235157361254,0.000,0.000,0.000,False
20134167,0.0132846,79.4368003364652,0.000,0.000,0.000,False
20134169,0.0213813,79.458181636408,0.000,0.000,0.000,False
20134171,0.0129501,79.4711317364126,0.000,0.000,0.000,False
20134173,0.0223787,79.4935104362667,0.000,0.000,0.000,False
20134175,0.0211379,79.5146483369172,0.000,0.000,0.000,False
20134230,0.1089837,80.0766203412786,0.000,0.000,0.000,False
20134234,0.0124329,80.089053241536,0.000,0.000,0.000,False
20134239,0.0407013,80.1297545414418,0.000,0.000,0.000,False
20134243,0.0413126,80.1710671428591,0.000,0.000,0.000,False
20134249,0.0482537,80.2193208429962,0.000,0.000,0.000,False
20134251,0.0561743,80.2754951436073,0.000,0.000,0.000,False
20134252,0.0195093,80.2950044441968,0.000,0.000,0.000,False
20134254,0.0133115,80.3083159439266,0.000,0.000,0.000,False
20134256,0.0213979,80.3297138437629,0.000,0.000,0.000,False
20134258,0.0109882,80.3407020438463,0.000,0.000,0.000,False
20134259,0.0223226,80.3630246445537,0.000,0.000,0.000,False
20134261,0.0176597,80.380684344098,0.000,0.000,0.000,False
20134263,0.0132726,80.3939569443464,0.000,0.000,0.000,False
20134266,0.0250212,80.4189781434834,0.000,0.000,0.000,False
20134269,0.0342839,80.4532620422542,0.000,0.000,0.000,False
20134272,0.0339411,80.487203143537,0.000,0.000,0.000,False
20134274,0.0236614,80.5108645427972,0.000,0.000,0.000,False
20134276,0.0174044,80.5282689426094,0.000,0.000,0.000,False
20134277,0.0167459,80.5450148433447,0.000,0.000,0.000,False
20134279,0.0115044,80.5565192429349,0.000,0.000,0.000,False
20134280,0.0221161,80.5786353433505,0.000,0.000,0.000,False
20134282,0.0109456,80.589580943808,0.000,0.000,0.000,False
20134284,0.0210146,80.6105955429375,0.000,0.000,0.000,False
20134286,0.0118557,80.6224512429908,0.000,0.000,0.000,False
20134287,0.0216919,80.6441431427374,0.000,0.000,0.000,False
20134289,0.0148773,80.6590204425156,0.000,0.000,0.000,False
20134291,0.0219565,80.6809769421816,0.000,0.000,0.000,False
20134293,0.0122029,80.6931798420846,0.000,0.000,0.000,False
20134295,0.0228114,80.7159912418574,0.000,0.000,0.000,False
20134296,0.0159812,80.7319724410772,0.000,0.000,0.000,False
20134298,0.0116963,80.7436687406152,0.000,0.000,0.000,False
20134300,0.0219538,80.7656225413084,0.000,0.000,0.000,False
20134301,0.015802,80.7814245410264,0.000,0.000,0.000,False
20134303,0.0184607,80.7998852413148,0.000,0.000,0.000,False
20134304,0.0158788,80.8157640416175,0.000,0.000,0.000,False
20134306,0.0162181,80.8319821413606,0.000,0.000,0.000,False
20134308,0.0109267,80.8429088415578,0.000,0.000,0.000,False
20134309,0.0208992,80.8638080423698,0.000,0.000,0.000,False
20134311,0.0177381,80.8815461425111,0.000,0.000,0.000,False
20134313,0.0161454,80.897691543214,0.000,0.000,0.000,False
20134314,0.0164333,80.9141248436645,0.000,0.000,0.000,False
20134316,0.0118841,80.9260089434683,0.000,0.000,0.000,False
20134318,0.0224892,80.9484981428832,0.000,0.000,0.000,False
20134319,0.0151683,80.9636664427817,0.000,0.000,0.000,False
20134321,0.0165522,80.9802186433226,0.000,0.000,0.000,False
20134322,0.0157364,80.995955042541,0.000,0.000,0.000,False
20134324,0.0144796,81.0104346424341,0.000,0.000,0.000,False
20134325,0.0201997,81.0306343417615,0.000,0.000,0.000,False
20134328,0.0114518,81.0420861421153,0.000,0.000,0.000,False
20134329,0.0207539,81.0628400417045,0.000,0.000,0.000,False
20134331,0.0126708,81.0755108417943,0.000,0.000,0.000,False
20134332,0.0260913,81.1016021417454,0.000,0.000,0.000,False
20134334,0.0061609,81.1077630417421,0.000,0.000,0.000,False
20134336,0.0240047,81.1317677414045,0.000,0.000,0.000,False
20134338,0.0167796,81.1485473411158,0.000,0.000,0.000,False
20134339,0.0170677,81.1656150417402,0.000,0.000,0.000,False
20134341,0.0160603,81.1816753419116,0.000,0.000,0.000,False
20134343,0.0123062,81.193981542252,0.000,0.000,0.000,False
20134344,0.0206178,81.2145993420854,0.000,0.000,0.000,False
20134346,0.0179889,81.2325882418081,0.000,0.000,0.000,False
20134348,0.0163295,81.2489177426323,0.000,0.000,0.000,False
20134349,0.0160964,81.2650141427293,0.000,0.000,0.000,False
20134351,0.0121557,81.277169842273,0.000,0.000,0.000,False
20134353,0.0216698,81.298839641735,0.000,0.000,0.000,False
20134354,0.0169723,81.3158119414002,0.000,0.000,0.000,False
20134356,0.0160962,81.3319081421942,0.000,0.000,0.000,False
20134357,0.0191456,81.3510537426919,0.000,0.000,0.000,False
20134359,0.0122982,81.3633519429713,0.000,0.000,0.000,False
20134361,0.0189316,81.3822835423052,0.000,0.000,0.000,False
20134362,0.0165334,81.3988169431686,0.000,0.000,0.000,False
20134364,0.0125973,81.4114142432809,0.000,0.000,0.000,False
20134366,0.0212716,81.4326858427376,0.000,0.000,0.000,False
20134367,0.0165746,81.449260443449,0.000,0.000,0.000,False
20134369,0.0121648,81.4614252438769,0.000,0.000,0.000,False
20134371,0.0211755,81.4826007438824,0.000,0.000,0.000,False
20134373,0.0168159,81.499416644685,0.000,0.000,0.000,False
20134374,0.0154399,81.5148565443233,0.000,0.000,0.000,False
20134376,0.0177396,81.5325961438939,0.000,0.000,0.000,False
20134378,0.0130191,81.5456152437255,0.000,0.000,0.000,False
20134379,0.0205722,81.566187444143,0.000,0.000,0.000,False
20134381,0.0175709,81.5837583439425,0.000,0.000,0.000,False
20134383,0.0168323,81.600590643473,0.000,0.000,0.000,False
20134384,0.0158525,81.6164431432262,0.000,0.000,0.000,False
20134386,0.0133341,81.6297772433609,0.000,0.000,0.000,False
20134388,0.0161121,81.6458893436939,0.000,0.000,0.000,False
20134389,0.0211209,81.6670102439821,0.000,0.000,0.000,False
20134391,0.0166866,81.6836968436837,0.000,0.000,0.000,False
20134393,0.0169123,81.7006091438234,0.000,0.000,0.000,False
20134394,0.0167394,81.7173485439271,0.000,0.000,0.000,False
20134396,0.0126634,81.7300119437277,0.000,0.000,0.000,False
20134398,0.0217134,81.7517253439873,0.000,0.000,0.000,False
20134399,0.014937,81.7666623443365,0.000,0.000,0.000,False
20134401,0.0175681,81.7842304445803,0.000,0.000,0.000,False
20134403,0.0152593,81.7994897449389,0.000,0.000,0.000,False
20134404,0.0166132,81.8161029452458,0.000,0.000,0.000,False
20134406,0.0126359,81.8287388449535,0.000,0.000,0.000,False
20134408,0.0205696,81.8493084451184,0.000,0.000,0.000,False
20134409,0.0166324,81.8659408455715,0.000,0.000,0.000,False
20134411,0.0171435,81.8830843446776,0.000,0.000,0.000,False
20134412,0.0170164,81.9001007443294,0.000,0.000,0.000,False
20134414,0.0120847,81.9121854444966,0.000,0.000,0.000,False
20134416,0.0212943,81.9334797440097,0.000,0.000,0.000,False
20134418,0.0171014,81.9505811436102,0.000,0.000,0.000,False
